# Catálogo de referencia de productos argentinos de GondolIA: autocompleta la carga de mercadería por código de
# barras sin depender de internet (ver docs/datos-demo.md). Lo genera y verifica backend/scripts/catalogo_argentina.py.
#
# Fuente: Open Food Facts (https://world.openfoodfacts.org), y Open Products Facts / Open Beauty Facts para limpieza y
# perfumería (columna "fuente"). Los datos se publican bajo la Open Database License (ODbL) 1.0
# (https://opendatacommons.org/licenses/odbl/1-0/) y su contenido bajo la Database Contents License (DbCL) 1.0.
# © colaboradores de Open Food Facts. Nombres, marcas y contenidos revisados y normalizados para GondolIA; los
# códigos de barras son los de la base pública, sin cambios.
#
# Formato: separado por ";", una fila por producto y sin comillas (ningún campo lleva ";" ni comillas). codigo =
# EAN-13/EAN-8 con dígito verificador válido.
codigo;nombre;marca;contenido;categoria;fuente
7792798011520;Cerveza Quilmes Doble Malta lata 473 ml;Quilmes;473 ml;Bebidas alcohólicas;OFF
7792798007400;Cerveza Quilmes Stout 1 L;Quilmes;1 L;Bebidas alcohólicas;OFF
7792798001255;Cerveza Quilmes Stout 340 ml;Quilmes;340 ml;Bebidas alcohólicas;OFF
7792798001774;Cerveza Stella Artois lata 269 ml;Stella Artois;269 ml;Bebidas alcohólicas;OFF
7792798014361;Cerveza Stella Artois lata 473 ml;Stella Artois;473 ml;Bebidas alcohólicas;OFF
7790290101602;Fernet Branca 750 ml;Branca;750 ml;Bebidas alcohólicas;OFF
7790119002370;Sidra 1888 750 ml;1888;750 ml;Bebidas alcohólicas;OFF
7791200200552;Vermouth Cinzano Rosso 1 L;Cinzano;1 L;Bebidas alcohólicas;OFF
7794450008053;Vino tinto Catena Malbec 750 ml;Catena;750 ml;Bebidas alcohólicas;OFF
7798039590342;Vino tinto Trivento Reserve Malbec 750 ml;Trivento;750 ml;Bebidas alcohólicas;OFF
7793913000511;Arroz con leche Tregar con canela 180 g;Tregar;180 g;Lácteos;OFF
7790787949717;Crema de leche Ilolay 200 ml;Ilolay;200 ml;Lácteos;OFF
7790742141606;Crema de leche La Serenísima para cocinar 200 ml;La Serenísima;200 ml;Lácteos;OFF
7790080040302;Flan casero SanCor con caramelo 240 g;SanCor;240 g;Lácteos;OFF
7791337003194;Flan Ser caramelo 95 g;Ser;95 g;Lácteos;OFF
7793940198007;Leche chocolatada Cindor 250 ml;Cindor;250 ml;Lácteos;OFF
7794820004159;Leche chocolatada Milkaut 200 ml;Milkaut;200 ml;Lácteos;OFF
7793940306006;Leche descremada Armonía 1 L;Armonía;1 L;Lácteos;OFF
7790742106605;Leche descremada en polvo La Serenísima 400 g;La Serenísima;400 g;Lácteos;OFF
7790742358608;Leche descremada La Serenísima Protein 1 L;La Serenísima;1 L;Lácteos;OFF
7793913012996;Leche descremada Tregar 1 L;Tregar;1 L;Lácteos;OFF
7798338290103;Leche entera Apóstoles 1 L;Apóstoles;1 L;Lácteos;OFF
7790742308801;Leche entera La Serenísima 3% 1 L;La Serenísima;1 L;Lácteos;OFF
7790742357007;Leche entera larga vida La Serenísima 1 L;La Serenísima;1 L;Lácteos;OFF
7794396004515;Leche entera larga vida La Suipachense 1 L;La Suipachense;1 L;Lácteos;OFF
7790080038217;Leche entera SanCor 1 L;SanCor;1 L;Lácteos;OFF
7794710010017;Leche entera Verónica 1 L;Verónica;1 L;Lácteos;OFF
7790742336002;Leche La Serenísima Cardio 1 L;La Serenísima;1 L;Lácteos;OFF
7790742016256;Leche La Serenísima fácil digestión 750 ml;La Serenísima;750 ml;Lácteos;OFF
7790742333605;Leche La Serenísima Zero Lactosa 1 L;La Serenísima;1 L;Lácteos;OFF
7790787949656;Leche parcialmente descremada Ilolay 1 L;Ilolay;1 L;Lácteos;OFF
7790742357106;Leche parcialmente descremada larga vida La Serenísima 1 L;La Serenísima;1 L;Lácteos;OFF
7791058000816;Leche parcialmente descremada Manfrey 1 L;Manfrey;1 L;Lácteos;OFF
7790080037715;Leche parcialmente descremada SanCor 0% lactosa 1 L;SanCor;1 L;Lácteos;OFF
7790080037180;Leche parcialmente descremada SanCor 1 L;SanCor;1 L;Lácteos;OFF
7790787002658;Leche reducida en lactosa Ilolay 1 L;Ilolay;1 L;Lácteos;OFF
7790742345806;Manteca La Serenísima 200 g;La Serenísima;200 g;Lácteos;OFF
7790742034526;Manteca La Serenísima clásica 100 g;La Serenísima;100 g;Lácteos;OFF
7794820000601;Manteca Milkaut 200 g;Milkaut;200 g;Lácteos;OFF
7790080010879;Manteca SanCor clásica 200 g;SanCor;200 g;Lácteos;OFF
7798060852617;Manteca Tonadita 200 g;Tonadita;200 g;Lácteos;OFF
7791337004627;Postre Danette chocolate 95 g;Danette;95 g;Lácteos;OFF
7791337304017;Postre Serenito con Rocklets 120 g;Serenito;120 g;Lácteos;OFF
77974594;Postre Serenito vainilla 120 g;Serenito;120 g;Lácteos;OFF
7790080040920;Postre Shimy dulce de leche 120 g;SanCor;120 g;Lácteos;OFF
7790742327802;Queso azul untable Finlandia 189 g;Finlandia;189 g;Lácteos;OFF
7791337012189;Queso blanco García 290 g;García;290 g;Lácteos;OFF
7793913012941;Queso blanco light Tregar 300 g;Tregar;300 g;Lácteos;OFF
7793913012934;Queso blanco Tregar 290 g;Tregar;290 g;Lácteos;OFF
7791337011328;Queso crema Casancrem clásico 480 g;Casancrem;480 g;Lácteos;OFF
7791337012097;Queso crema Casancrem light 290 g;Casancrem;290 g;Lácteos;OFF
7791337011342;Queso crema Casancrem light 480 g;Casancrem;480 g;Lácteos;OFF
7790787003518;Queso crema Ilolay Crem light 300 g;Ilolay;300 g;Lácteos;OFF
7794990879663;Queso crema La Paulina Equilibrio 290 g;La Paulina;290 g;Lácteos;OFF
7794990879656;Queso crema La Paulina tradicional 290 g;La Paulina;290 g;Lácteos;OFF
7790080040142;Queso crema Mendicrim light 300 g;Mendicrim;300 g;Lácteos;OFF
7794820901571;Queso untable Crematto clásico 290 g;Milkaut;290 g;Lácteos;OFF
7794820901588;Queso untable Crematto light 290 g;Milkaut;290 g;Lácteos;OFF
7790742344007;Queso untable Cremón desayuno light 300 g;La Serenísima;300 g;Lácteos;OFF
7790742165909;Queso untable Finlandia balance 300 g;Finlandia;300 g;Lácteos;OFF
7790742321701;Queso untable Finlandia clásico 180 g;Finlandia;180 g;Lácteos;OFF
7790742161802;Queso untable Finlandia light 200 g;Finlandia;200 g;Lácteos;OFF
7790742163509;Queso untable Finlandia light 300 g;Finlandia;300 g;Lácteos;OFF
7790787004447;Queso untable Ilolay 4 quesos 190 g;Ilolay;190 g;Lácteos;OFF
7790787004454;Queso untable Ilolay finas hierbas 190 g;Ilolay;190 g;Lácteos;OFF
7794990878925;Queso untable La Paulina sabor jamón 190 g;La Paulina;190 g;Lácteos;OFF
7794820000182;Queso untable Milkaut cheddar 190 g;Milkaut;190 g;Lácteos;OFF
7793913001754;Queso untable Neufchâtel light Tregar 190 g;Tregar;190 g;Lácteos;OFF
7798060852433;Queso untable Tonadita Patagonia 200 g;Tonadita;200 g;Lácteos;OFF
7798060852402;Queso untable Tonadita Patagonia 300 g;Tonadita;300 g;Lácteos;OFF
7793913013146;Ricota magra Tregar 290 g;Tregar;290 g;Lácteos;OFF
7791337003484;Yogur batido Ser durazno 140 g;Ser;140 g;Lácteos;OFF
7791337003477;Yogur batido Ser frutos rojos 140 g;Ser;140 g;Lácteos;OFF
7791337003996;Yogur batido Ser mango y maracuyá 140 g;Ser;140 g;Lácteos;OFF
7791337004207;Yogur batido Ser natural 175 g;Ser;175 g;Lácteos;OFF
7790787000432;Yogur bebible descremado Ilolay frutilla 1 kg;Ilolay;1 kg;Lácteos;OFF
7790787100415;Yogur bebible Ilolay vainilla 1 kg;Ilolay;1 kg;Lácteos;OFF
7791337004030;Yogur bebible Ser vainilla 1 kg;Ser;1 kg;Lácteos;OFF
7791337002623;Yogur bebible Yogurísimo durazno 1 kg;Yogurísimo;1 kg;Lácteos;OFF
7791337002661;Yogur bebible Yogurísimo vainilla 1 kg;Yogurísimo;1 kg;Lácteos;OFF
7794820902103;Yogur cremoso light Milkaut vainilla 190 g;Milkaut;190 g;Lácteos;OFF
7793913000894;Yogur descremado Tregar frutilla 160 g;Tregar;160 g;Lácteos;OFF
7791337004061;Yogur firme Ser frutilla 190 g;Ser;190 g;Lácteos;OFF
7790080065145;Yogur firme Yogs natural 190 g;Yogs;190 g;Lácteos;OFF
7791337601215;Yogur firme Yogurísimo vainilla 190 g;Yogurísimo;190 g;Lácteos;OFF
7793913002423;Yogur natural endulzado Tregar 140 g;Tregar;140 g;Lácteos;OFF
7791337001626;Yogur Ser Calci+ frutilla y arándanos 120 g;Ser;120 g;Lácteos;OFF
7793913013245;Yogur Tregar con colchón de durazno 160 g;Tregar;160 g;Lácteos;OFF
7790080065107;Yogur Yogs frutilla 180 g;Yogs;180 g;Lácteos;OFF
7791337003934;Yogur Yogurísimo estilo griego natural 125 g;Yogurísimo;125 g;Lácteos;OFF
7791337003118;Yogur Yogurísimo estilo griego vainilla caramel 125 g;Yogurísimo;125 g;Lácteos;OFF
7791337006355;Yogur Yogurísimo natural 300 g;Yogurísimo;300 g;Lácteos;OFF
7791337004290;Yogur Yogurísimo natural sin azúcar agregada 300 g;Yogurísimo;300 g;Lácteos;OFF
7790079022623;Bondiola en fetas Paladini 120 g;Paladini;120 g;Fiambres y quesos;OFF
7796953311111;Jamón cocido Bocatti 130 g;Bocatti;130 g;Fiambres y quesos;OFF
7795917008470;Jamón crudo Campo Austral 150 g;Campo Austral;150 g;Fiambres y quesos;OFF
7798060852334;Queso cheddar en fetas Tonadita 116 g;Tonadita;116 g;Fiambres y quesos;OFF
7790742167200;Queso danbo en fetas Finlandia 150 g;Finlandia;150 g;Fiambres y quesos;OFF
7794990879779;Queso en hebras La Paulina mediterráneo 135 g;La Paulina;135 g;Fiambres y quesos;OFF
7794990880218;Queso mozzarella La Paulina 180 g;La Paulina;180 g;Fiambres y quesos;OFF
7790398100118;Queso rallado La Paulina 40 g;La Paulina;40 g;Fiambres y quesos;OFF
7790742223203;Queso rallado La Serenísima 175 g;La Serenísima;175 g;Fiambres y quesos;OFF
7793940328008;Queso rallado La Serenísima 40 g;La Serenísima;40 g;Fiambres y quesos;OFF
7790742223104;Queso rallado reggianito La Serenísima 130 g;La Serenísima;130 g;Fiambres y quesos;OFF
7793940797002;Queso rallado reggianito La Serenísima 150 g;La Serenísima;150 g;Fiambres y quesos;OFF
7790080014709;Queso rallado reggianito SanCor 40 g;SanCor;40 g;Fiambres y quesos;OFF
7793913000146;Queso rallado Tregar 120 g;Tregar;120 g;Fiambres y quesos;OFF
7798151770189;Queso rallado Tremblay 40 g;Tremblay;40 g;Fiambres y quesos;OFF
7790080013610;Queso reggianito SanCor Corazón de Horma 230 g;SanCor;230 g;Fiambres y quesos;OFF
7795917816259;Salame tipo milán La Piamontesa 150 g;La Piamontesa;150 g;Fiambres y quesos;OFF
7790670051220;Salchichas Paty Viena Fun 190 g;Paty;190 g;Fiambres y quesos;OFF
7790360000132;Salchichas Swift x 6 (225 g);Swift;225 g;Fiambres y quesos;OFF
7792180001665;Aceite de girasol Cañuelas 1,5 L;Cañuelas;1,5 L;Almacén;OFF
7790070012050;Aceite de girasol Cocinero 900 ml;Cocinero;900 ml;Almacén;OFF
7790070231468;Aceite de girasol Lira 900 ml;Lira;900 ml;Almacén;OFF
7790272001029;Aceite de girasol Natura 1,5 L;Natura;1,5 L;Almacén;OFF
7790272001036;Aceite de girasol Natura 3 L;Natura;3 L;Almacén;OFF
7790272001005;Aceite de girasol Natura 900 ml;Natura;900 ml;Almacén;OFF
7792180137944;Aceite de girasol Pureza 1,5 L;Pureza;1,5 L;Almacén;OFF
7790580160807;Aceite de maíz Arcor 900 ml;Arcor;900 ml;Almacén;OFF
7790070218216;Aceite de oliva extra virgen Cocinero 500 ml;Cocinero;500 ml;Almacén;OFF
7790272007328;Aceite de oliva extra virgen Natura 500 ml;Natura;500 ml;Almacén;OFF
7792180005175;Aceite de oliva virgen extra Cañuelas clásico 500 ml;Cañuelas;500 ml;Almacén;OFF
7792070001614;Aceite de oliva virgen extra Nucete clásico 500 ml;Nucete;500 ml;Almacén;OFF
7790139003357;Aceto balsámico Casalta 400 ml;Casalta;400 ml;Almacén;OFF
7792900000312;Aderezo César Dos Anclas 350 g;Dos Anclas;350 g;Almacén;OFF
7798342150141;Aderezo NotMayo 200 g;NotCo;200 g;Almacén;OFF
7794000005372;Almidón de maíz Maizena 250 g;Maizena;250 g;Almacén;OFF
7794000599185;Almidón de maíz Maizena 520 g;Maizena;520 g;Almacén;OFF
7790070411846;Arroz doble carolina Gallo 500 g;Gallo;500 g;Almacén;OFF
7790503199099;Arroz Dos Hermanos no se pasa 1 kg;Dos Hermanos;1 kg;Almacén;OFF
7790070411716;Arroz Gallo Oro 1 kg;Gallo;1 kg;Almacén;OFF
7792710001523;Arroz largo fino Amanda 1 kg;Amanda;1 kg;Almacén;OFF
7790070411747;Arroz largo fino Gallo 1 kg;Gallo;1 kg;Almacén;OFF
7798138553040;Arroz largo fino Molto 500 g;Molto;500 g;Almacén;OFF
7790070411815;Arroz parboil Lucchetti 1 kg;Lucchetti;1 kg;Almacén;OFF
7790070413765;Arroz preparado Gallo sabor queso 240 g;Gallo;240 g;Almacén;OFF
7790070411914;Arroz yamaní integral Gallo 500 g;Gallo;500 g;Almacén;OFF
7791100000481;Azúcar común tipo A Chango 1 kg;Chango;1 kg;Almacén;OFF
7792540260138;Azúcar Ledesma clásica 1 kg;Ledesma;1 kg;Almacén;OFF
7792540250450;Azúcar superior Ledesma 1 kg;Ledesma;1 kg;Almacén;OFF
7790070432964;Bizcochuelo Exquisita vainilla 540 g;Exquisita;540 g;Almacén;OFF
7790580131753;Bizcochuelo Godet marmolado 500 g;Godet;500 g;Almacén;OFF
7790150830857;Cacao en polvo Chocolino La Virginia 180 g;La Virginia;180 g;Almacén;OFF
7790550010125;Café en saquitos Cabrales x 20;Cabrales;20 saquitos;Almacén;OFF
7790170903227;Café en saquitos La Morenita clásico 100 g;La Morenita;100 g;Almacén;OFF
7790070936479;Café instantáneo Arlistán 170 g;Arlistán;170 g;Almacén;OFF
7790070936493;Café instantáneo Arlistán suave 100 g;Arlistán;100 g;Almacén;OFF
7790150100486;Café instantáneo La Virginia clásico 170 g;La Virginia;170 g;Almacén;OFF
7790150101490;Café instantáneo La Virginia con azúcar 170 g;La Virginia;170 g;Almacén;OFF
7790170903937;Café torrado molido La Morenita 100 g;La Morenita;100 g;Almacén;OFF
7790550001239;Café tostado molido Cabrales 250 g;Cabrales;250 g;Almacén;OFF
7794000005730;Caldo de gallina Knorr x 12 cubos;Knorr;114 g;Almacén;OFF
7794000597518;Caldo de verduras Knorr x 12 cubos;Knorr;114 g;Almacén;OFF
7790550026416;Capuccino Cabrales estilo italiano 125 g;Cabrales;125 g;Almacén;OFF
7790150160701;Capuccino La Virginia 125 g;La Virginia;125 g;Almacén;OFF
7790150161203;Capuccino La Virginia dulce de leche 155 g;La Virginia;155 g;Almacén;OFF
7790150160909;Capuccino La Virginia light 100 g;La Virginia;100 g;Almacén;OFF
7798153810012;Chocolate en polvo Toddy 180 g;Toddy;180 g;Almacén;OFF
7790580504809;Dulce de batata con chocolate Arcor 500 g;Arcor;500 g;Almacén;OFF
7798128001902;Dulce de leche Cachafaz 450 g;Cachafaz;450 g;Almacén;OFF
7791875005353;Dulce de leche Havanna 450 g;Havanna;450 g;Almacén;OFF
7790787949823;Dulce de leche Ilolay 405 g;Ilolay;405 g;Almacén;OFF
7794990878581;Dulce de leche La Paulina 400 g;La Paulina;400 g;Almacén;OFF
7790742625304;Dulce de leche La Serenísima clásico 400 g;La Serenísima;400 g;Almacén;OFF
7790742625205;Dulce de leche La Serenísima estilo colonial 400 g;La Serenísima;400 g;Almacén;OFF
7794820014608;Dulce de leche Milkaut clásico 400 g;Milkaut;400 g;Almacén;OFF
7790742067005;Dulce de leche repostero La Serenísima 400 g;La Serenísima;400 g;Almacén;OFF
7790080031904;Dulce de leche repostero SanCor 400 g;SanCor;400 g;Almacén;OFF
7790244000401;Dulce de leche San Ignacio 450 g;San Ignacio;450 g;Almacén;OFF
7790080031867;Dulce de leche SanCor 400 g;SanCor;400 g;Almacén;OFF
7798054490603;Dulce de leche sin azúcar con stevia Doña Magdalena 400 g;Doña Magdalena;400 g;Almacén;OFF
7790616000411;Dulce de leche Vacalin 400 g;Vacalin;400 g;Almacén;OFF
7790150610305;Esencia de vainilla Alicante 100 ml;Alicante;100 ml;Almacén;OFF
7790070318305;Fideos bucatini Lucchetti 500 g;Lucchetti;500 g;Almacén;OFF
7790070320155;Fideos cabello de ángel Lucchetti 500 g;Lucchetti;500 g;Almacén;OFF
7798138552517;Fideos codos Molto 500 g;Molto;500 g;Almacén;OFF
7790070321664;Fideos fettuccini espinaca Don Vicente 500 g;Don Vicente;500 g;Almacén;OFF
7790070318336;Fideos mostachol Lucchetti 500 g;Lucchetti;500 g;Almacén;OFF
7790070318596;Fideos mostachol Matarazzo 500 g;Matarazzo;500 g;Almacén;OFF
7797470196090;Fideos nido al huevo Marolio 500 g;Marolio;500 g;Almacén;OFF
7790070318671;Fideos nidos fettuccine Matarazzo 500 g;Matarazzo;500 g;Almacén;OFF
7790070336361;Fideos penne rigate Lucchetti 500 g;Lucchetti;500 g;Almacén;OFF
7790070318633;Fideos penne rigate Matarazzo 500 g;Matarazzo;500 g;Almacén;OFF
7790070318282;Fideos spaghetti Lucchetti 500 g;Lucchetti;500 g;Almacén;OFF
7790070318640;Fideos spaghetti Matarazzo 500 g;Matarazzo;500 g;Almacén;OFF
7790070336576;Fideos tallarín al huevo Don Vicente 500 g;Don Vicente;500 g;Almacén;OFF
7790070336316;Fideos tallarín N°5 Matarazzo 500 g;Matarazzo;500 g;Almacén;OFF
7790070321244;Fideos tirabuzón 3 vegetales Lucchetti 500 g;Lucchetti;500 g;Almacén;OFF
7790070320841;Fideos tirabuzón integral Matarazzo 500 g;Matarazzo;500 g;Almacén;OFF
7790070318329;Fideos tirabuzón Lucchetti 500 g;Lucchetti;500 g;Almacén;OFF
7790070318602;Fideos tirabuzón Matarazzo 500 g;Matarazzo;500 g;Almacén;OFF
7790070412355;Flan Exquisita dulce de leche 60 g;Exquisita;60 g;Almacén;OFF
7790070412348;Flan Exquisita vainilla 60 g;Exquisita;60 g;Almacén;OFF
7790070410634;Gelatina Exquisita frutilla 50 g;Exquisita;50 g;Almacén;OFF
7790199000013;Harina 000 Morixe 1 kg;Morixe;1 kg;Almacén;OFF
